"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
9,30726823,"Deloitte, S.L."
9,31676823,"Bangladesh Enterprise Institute"
9,31936823,"Wallenius Wilhemsen Logistics"
9,35996823,"Manpower - Argentina"
9,36896823,"Octaga Green Power & Sugar Ltd."
9,37106823,"Seagate Technology"
9,41806823,"SGS Mozambique, Lda"
9,41816823,"SGS Mozambique, Lda"
9,44456823,"Fundación Andaluza Fondo de Formacion y Empleo"
9,44496823,"CIFF Centro Internacional de Formación Financiera"
9,44676823,"Fundación Andaluza Fondo de Formacion y Empleo"
9,44986823,"Uretec S.A."
9,45056823,"S.C. Contor Group S.A."
9,45066823,"S.C. Contor Group S.A."
9,45416823,"S.C. Contor Group S.A."
9,45916823,"Danfoss Group"
9,48396823,"OC Oerlikon Management AG"
9,49336823,"ICA AB"
9,50656823,"ING Group"
9,51756823,"SAS Group"
9,51886823,"Bonum Publicum"
9,52746823,"HSCC Hospital Services Consultancy Corp. Ltd."
9,52886823,"Outermedia GmbH"
9,53996823,"Hurley Palmer Flatt"
9,54416823,"ESPAE - Escuela de Postgrado en Administracion de Empresas at ESPOL"
9,54466823,"Petrobras SA"
9,63096823,"Operadora la Caleta S.A. de C.V. - Parque Xel-ha"
9,64026823,"Banco Santander Chile"
9,67936823,"Credit Suisse"
9,73546823,"Grupo Ferrovial, S.A."
9,76326823,"Fundación Educación Salud y Sociedad"
9,77716823,"Standard Chartered Bank"
9,78016823,"Bob Gold and Associates"
9,83796823,"Indian Oil Corporation Ltd."
9,85266823,"Unibrands AB"
9,85426823,"Indian Farmers Fertiliser Cooperative"
9,85446823,"MTN Nigeria Communications Ltd."
9,88476823,"WGZ Bank AG Westdeutche Genossenschafts-Zentralbank"
9,88856823,"Novartis Corporativo, S.A. de C.V."
9,89696823,"Statoil Hydro"
9,91936823,"Fundación para la Produccion - FUNDA-PRO"
9,96956823,"China Petroleum and Chemical Corporation - Sinopec"
9,98546823,"Nike, Inc."
9,100976823,"Sansemen Government"
10,3379,"Hope Worldwide-Pakistan"
10,4184,"Deutsche Lufthansa Aktiengesellschaft"
10,4369,"Metsaliitto Group"
10,4456,"M-real Corporation"
10,4505,"National Youth Council Benin (NYC - Benin)"
10,6204,"Trimtab Management Systems"
10,6498,"University of Melbourne"
10,30726823,"Deloitte, S.L."
10,31816823,"Fondo Financiero Privado FIE S.A."
10,41806823,"SGS Mozambique, Lda"
10,41816823,"SGS Mozambique, Lda"
10,43086823,"Rapaport Group of Companies"
10,44456823,"Fundación Andaluza Fondo de Formacion y Empleo"
10,44986823,"Uretec S.A."
10,45916823,"Danfoss Group"
10,54426823,"Garant Vohitra Environnement"
10,63106823,"Garant Vohitra Environnement"
10,75516823,"National Grid plc"
10,83796823,"Indian Oil Corporation Ltd."
10,88856823,"Novartis Corporativo, S.A. de C.V."
10,93246823,"Guangxi Yuchai machinery Group Company"
10,96956823,"China Petroleum and Chemical Corporation - Sinopec"
10,100976823,"Sansemen Government"
10,101006823,"4C Strategies AB"
10,101776823,"Youth Association for Habitat"
11,70,"ABB S.A."
11,88,"Acciona"
11,2623,"Fundación Ineval"
11,3378,"Hope Worldwide-Pakistan"
11,3379,"Hope Worldwide-Pakistan"
11,4333,"Mekelle Chamber of Commerce of Ethiopia"
11,4456,"M-real Corporation"
11,4505,"National Youth Council Benin (NYC - Benin)"
11,4872,"People's Movement for Human Rights Education"
11,4929,"Pirelli & C. S.p.A."
11,5967,"The Consortium for Purchasing and Distribution Ltd."
11,6204,"Trimtab Management Systems"
11,6496,"University of Dallas"
11,6498,"University of Melbourne"
11,6500,"University of Melbourne"
11,3136823,"Mekelle Chamber of Commerce of Ethiopia"
11,3156823,"Hope Worldwide-Pakistan"
11,3166823,"ABB S.A."
11,4136823,"Fundación Castro Limon, A.C...."
11,4146823,"Fundación Castro Limon, A.C...."
11,19166823,"Anne Gire International Consulting Cabinet"
11,20406823,"Visteon Corporation"
11,23996823,"Mi2international Inc and SA"
11,30726823,"Deloitte, S.L."
11,35246823,"Gindre Duchavany"
11,36156823,"F.C. Barcelona"
11,36346823,"Fundación ONG Peregrino Universal"
11,36896823,"Octaga Green Power & Sugar Ltd."
11,37896823,"deekay"
11,40696823,"Bodegas Chandon S.A."
11,41816823,"SGS Mozambique, Lda"
11,44456823,"Fundación Andaluza Fondo de Formacion y Empleo"
11,44986823,"Uretec S.A."
11,45066823,"S.C. Contor Group S.A."
11,45416823,"S.C. Contor Group S.A."
11,45916823,"Danfoss Group"
11,48296823,"Alcan Inc."
11,49336823,"ICA AB"
11,54466823,"Petrobras SA"
11,62836823,"Red Asociacion de Investigacion y Desarollo Para Integracion y Los Derechos Humanos"
11,64686823,"Fundacion Aviatur"
11,67936823,"Credit Suisse"
11,75516823,"National Grid plc"
11,77716823,"Standard Chartered Bank"
11,83796823,"Indian Oil Corporation Ltd."
11,88836823,"Charlemagne"
11,88856823,"Novartis Corporativo, S.A. de C.V."
11,89696823,"Statoil Hydro"
11,93826823,"TUV Rheinland Holding AG"
11,96956823,"China Petroleum and Chemical Corporation - Sinopec"
11,100976823,"Sansemen Government"
11,101006823,"4C Strategies AB"
11,101776823,"Youth Association for Habitat"
12,70,"ABB S.A."
12,174,"Adecco Szemelyzeti Kozvetito Kft."
12,4369,"Metsaliitto Group"
12,4456,"M-real Corporation"
12,4505,"National Youth Council Benin (NYC - Benin)"
12,5967,"The Consortium for Purchasing and Distribution Ltd."
12,6204,"Trimtab Management Systems"
